"","EIR","ft","S","D","A","T","phi","b","m","Sv","Ev","Iv","a","cA","cD","cT","n","mu","rD","rA","rT_S","rT_R"
"50",1,0.3,0.769035777951841,0.00383667689095878,0.225483255061075,0.00164429009612519,0.688709862276338,0.5841584257663,1.35427411300492,0.975305359848328,0.018097829997817,0.00659681015385489,0.306666666666667,0.0470235381924727,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"51",1.5,0.3,0.68995832022348,0.00493759852414485,0.30298796759917,0.00211611365320493,0.599488280222808,0.57669061244688,1.58059681381923,0.968262008759934,0.0232596533663618,0.00847833787370466,0.306666666666667,0.0453106111388111,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"52",2,0.3,0.626193532505665,0.00562354257487434,0.365772835244515,0.00241008967494615,0.521446273510042,0.566889347201648,1.79980813043238,0.962836803188186,0.0272355950094741,0.00992760180234037,0.306666666666667,0.0442366327900719,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"53",2.5,0.3,0.574528525835534,0.00605060767116251,0.416827748919949,0.00259311757335536,0.458327208318407,0.555492763474353,2.0164367773931,0.958536622295421,0.0303870457809419,0.0110763319236367,0.306666666666667,0.0435508604086079,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"54",3,0.3,0.532241147760051,0.0063161272216669,0.458735813351853,0.00270691166642867,0.407870006391506,0.543211689408894,2.23221457870055,0.955053633006667,0.0329396056743013,0.012006761319032,0.306666666666667,0.0430975961932385,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"55",3.5,0.3,0.497147378118342,0.00647787290178002,0.493598517736258,0.00277623124362001,0.367137270639135,0.530638115041674,2.44778786426273,0.952180663482009,0.0350451036174508,0.0127742329005401,0.306666666666667,0.0427833578207321,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"56",4,0.3,0.467576202606028,0.00657118374197809,0.523036392048289,0.0028162216037049,0.333730442006444,0.518213557522305,2.66336006885341,0.949772751677878,0.0368097771746785,0.0134174711474439,0.306666666666667,0.0425528288261972,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"57",4.5,0.3,0.442277653701001,0.00661856423215147,0.548267254538783,0.00283652752806491,0.305878224193438,0.506236394337482,2.87895849711464,0.947725921146816,0.038309827013752,0.013964251839432,0.306666666666667,0.0423731526176318,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"58",5,0.3,0.420323496030811,0.00663481618813397,0.570198195128998,0.00284349265205742,0.282301503716794,0.494887551283733,3.09454845690622,0.945964148965345,0.0396009676515307,0.0144348833831243,0.306666666666667,0.0422246556290861,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"59",6,0.3,0.383860692635933,0.00661060064377987,0.606695592158667,0.00283311456161994,0.244512936585071,0.474387778565875,3.52551036949311,0.943083454508988,0.0417121269244172,0.0152044185665944,0.306666666666667,0.041978507783943,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"60",7,0.3,0.354477006098641,0.00654620851029342,0.636171267458082,0.00280551793298289,0.215485708771308,0.456855286638858,3.95592911089009,0.940822199627588,0.043369320800253,0.0158084795721592,0.306666666666667,0.0417656667169496,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"61",8,0.3,0.330011212965304,0.00646450207848629,0.66075378406543,0.00277050089077984,0.192427339683931,0.442010393857869,4.38563642026206,0.938994830063213,0.0447085354442454,0.0162966344925416,0.306666666666667,0.0415688360562148,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"62",9,0.3,0.30913967885275,0.00637662161014726,0.681750861704183,0.00273283783292026,0.173632054774763,0.42945470989594,4.81458239749488,0.937483714653416,0.045815978582741,0.016700306763843,0.306666666666667,0.0413823054662041,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"63",10,0.3,0.291008190483218,0.00628795925823249,0.70000901057645,0.00269483968209964,0.157996969910667,0.418797989916085,5.24278815070502,0.936210827281122,0.046748832802469,0.0170403399164094,0.306666666666667,0.0412044757121342,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"64",15,0.3,0.225981692513788,0.00588254155167058,0.765614676698111,0.00252108923643025,0.107391908729956,0.384053807709584,7.37519820794002,0.931981532676552,0.049848333515744,0.0181701338077035,0.306666666666667,0.0404395577448041,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"65",20,0.3,0.184863521729409,0.00554197013398229,0.807219378079187,0.00237513005742098,0.0796598948863824,0.365654828367438,9.50029480890171,0.929595212443208,0.0515971833729671,0.0188076041838253,0.306666666666667,0.0398565071545478,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"66",30,0.3,0.135211205558164,0.00498994493750598,0.85766030167397,0.0021385478303597,0.0503205800119148,0.347184743613193,13.7538676666083,0.927053292867049,0.0534600664955756,0.0194866406373753,0.306666666666667,0.0390423566591189,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"67",50,0.3,0.0875542394134039,0.00426720267719653,0.90634975676203,0.00182880114736994,0.0269097034550154,0.332770437705966,22.3271815270299,0.925106283910278,0.0548869606267493,0.0200067554629725,0.306666666666667,0.0380845733183375,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"68",100,0.3,0.0464567328504036,0.00360861005337828,0.948388109930485,0.00154654716573355,0.0117348711461859,0.322352540033181,44.0866641111821,0.924141886074572,0.0555937337553987,0.020264380170029,0.306666666666667,0.0369618993827029,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"69",200,0.3,0.0241234406718995,0.00363072149033252,0.970689814341911,0.0015560234958568,0.00599788155026039,0.317284102412452,88.2088985731003,0.924172475955663,0.0555713155114302,0.0202562085329067,0.306666666666667,0.036095058700793,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"70",0.25,0.4,0.935639989829164,0.000951371702199736,0.0627743906671699,0.000634247801466491,0.786313766064497,0.589759742553586,1.07412714534539,0.992216165462277,0.00570449754803594,0.00207933698968686,0.306666666666667,0.0525452071797214,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"71",0.5,0.4,0.880895830443926,0.00184704157552936,0.116025766930192,0.00123136105035291,0.765827799655238,0.588689303395103,1.22995398977021,0.986404649212273,0.00996355264971596,0.00363179813801116,0.306666666666667,0.0498225533454921,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"72",0.75,0.4,0.832467430452415,0.00263408025951645,0.163142435781724,0.0017560535063443,0.731386732372293,0.586817531916873,1.36492276898489,0.981623514175685,0.0134674777345658,0.00490900808974961,0.306666666666667,0.0480646039106729,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"73",1,0.4,0.788609142961803,0.00328858019225039,0.205909890051113,0.00219238679483359,0.688709862276338,0.5841584257663,1.48882118503724,0.977537052653812,0.0164623011238213,0.00600064622236701,0.306666666666667,0.0467224860530912,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"74",1.5,0.4,0.712105117389565,0.00423222730640987,0.280841170433085,0.00282148487093991,0.599488280222808,0.57669061244688,1.7192187713671,0.970821067878883,0.0213842092779016,0.00779472284321578,0.306666666666667,0.0448265363141149,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"75",2,0.4,0.64880360157217,0.00482017934989229,0.343162766178009,0.00321345289992819,0.521446273510042,0.566889347201648,1.93906900097885,0.96550580523901,0.0252795776274438,0.00921461713354586,0.306666666666667,0.043657495912897,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"76",2.5,0.4,0.596678449488437,0.00518623514671072,0.394677825267046,0.00345749009780715,0.458327208318407,0.555492763474353,2.15509407438316,0.961204348008621,0.0284319637817002,0.0103636882096792,0.306666666666667,0.0429377370576553,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"77",3,0.4,0.553560229926251,0.00541382333285734,0.437416731185653,0.00360921555523823,0.407870006391506,0.543211689408894,2.36988456498691,0.957664631794968,0.0310260968357455,0.0113092713692868,0.306666666666667,0.042483617933936,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"78",3.5,0.4,0.517512227998226,0.00555246248724001,0.473233667856373,0.00370164165816001,0.367137270639135,0.530638115041674,2.58441616120974,0.954708690743118,0.0331924016821161,0.0120989075747659,0.306666666666667,0.0421847842075681,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"79",4,0.4,0.486973566482475,0.00563244320740979,0.503639028171842,0.0037549621382732,0.333730442006444,0.518213557522305,2.79901073731501,0.952206954490697,0.035025835865308,0.0127672096439953,0.306666666666667,0.0419769208159497,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"80",4.5,0.4,0.460742338632297,0.00567305505612983,0.529802569607487,0.00378203670408655,0.305878224193438,0.506236394337482,3.01372964779792,0.950063568706908,0.0365966476405149,0.0133397836525771,0.306666666666667,0.0418225544441347,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"81",5,0.4,0.437909656701549,0.00568698530411483,0.55261203445826,0.00379132353607656,0.282301503716794,0.494887551283733,3.22853934663973,0.94820674568797,0.0379574476815916,0.0138358066304381,0.306666666666667,0.0416996939872717,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"82",6,0.4,0.39986949230674,0.00566622912323989,0.59068679248786,0.00377748608215992,0.244512936585071,0.474387778565875,3.65819303326539,0.945147817652156,0.040199228052867,0.0146529542949773,0.306666666666667,0.0415019189716474,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
"83",7,0.4,0.369133037328669,0.00561103586596579,0.621515236228055,0.00374069057731053,0.215485708771308,0.456855286638858,4.08755182560309,0.942727776135994,0.0419727910478392,0.0152994328161671,0.306666666666667,0.0413316548653344,0.0676909,0.0217964698,10,0.132,0.2,0.004,0.2,0.2
